"","Community","community_area_number","property_type","zip_code","affordable_units_no","x_coordinate","y_coordinate","latitude","longitude","location"
"1","Uptown",3,"ARO",60640,4,1168376.19,1933904.517,41.97416834,-87.65620794,"(41.9741683436707, -87.6562079425006)"
"2","Belmont Cragin",19,"Senior",60641,110,1144792.615,1920829.074,41.938767,-87.74326301,"(41.93876700406477, 87.7432630148762)"
"3","West Ridge",2,"ARO",60645,3,1157863.159,1942516.737,41.99802217,-87.69463113,"(41.9980221692538, -87.6946311266723)"
"4","Grand Boulevard",38,"Multifamily",60653,72,1182241.946,1873977.257,41.80941355,-87.60708556,"(41.80941355316, -87.6070855617653)"
"5","Near West Side",28,"Multifamily",60612,176,1164349.325,1900851.12,41.88355426,-87.67195337,"(41.8835542602409, -87.6719533671956)"
"6","Avondale",21,"ARO",60639,12,1149206.496,1918356.569,41.93189772,-87.72710503,"(41.9318977231462, -87.7271050304538)"
"7","Roseland",49,"Senior",60628,59,1178843.134,1835756.142,41.70460868,-87.62071293,"(41.70460868112854, -87.6207129341579)"
"8","Lower West Side",31,"Multifamily",60608,4,1170202.356,1891062.313,41.85656724,-87.65074652,"(41.8565672424017, -87.6507465232068)"
"9","North Lawndale",29,"Multifamily",60608,5,1158533.507,1893871.34,41.86452207,-87.69350059,"(41.8645220744709, -87.6935005875192)"
"10","Oakland",36,"Multifamily",60653,61,1182895.852,1878499.666,41.82180819,-87.6045465,"(41.82180819274104, -87.60454649932994)"
"11","Uptown",3,"ARO",60640,7,1168366.031,1930722.653,41.96543743,-87.65633776,"(41.96543743293176, -87.65633775847638)"
"12","West Town",24,"Senior",60647,24,1158416.973,1910568.81,41.91034383,-87.69347132,"(41.9103438336904, -87.6934713168643)"
"13","Near North Side",8,"ARO",60654,4,1174637.06190594,1905465.74083713,41.8959932601386,-87.6340381880058,"(41.8959932601386, -87.6340381880058)"
"14","Portage Park",15,"ARO",60641,11,1143974.592,1926130.299,41.95332945,-87.74613601,"(41.95332945388426, -87.74613600967054)"
"15","Irving Park",16,"Senior",60618,14,1151092.758,1926461.28,41.95410087,-87.71996013,"(41.9541008741757, -87.719960126363)"
"16","Humboldt Park",23,"Multifamily",60624,16,1153814.924,1903755.65,41.89174085,-87.71055924,"(41.8917408492721, -87.7105592394886)"
"17","Uptown",3,"Multifamily",60640,6,1168043.187,1932203.053,41.96950669,-87.65748184,"(41.969506690776, -87.65748184106664)"
"18","West Pullman",53,"Supportive Housing",60628,90,1173523.536,1824810.063,41.67469008,-87.64051484,"(41.6746900778514, -87.6405148423398)"
"19","Near North Side",8,"ARO",60610,20,1172714.757,1905745.153,41.89680276,-87.64109007,"(41.89680275880236, -87.64109006900695)"
"20","Avondale",21,"ARO",60641,1,1147642.668,1920900.727,41.93890932,-87.73278642,"(41.938909316360906, -87.73278642492338)"
"21","Uptown",3,"Multifamily",60640,18,1167869.511,1929704.264,41.96265369,-87.65819285,"(41.9626536880938, -87.6581928458592)"
"22","Logan Square",22,"Senior",60647,41,1159142.563,1915828.561,41.9247621,-87.69066098,"(41.9247620984666, -87.6906609776664)"
"23","Douglas",35,"Multifamily",60609,6,1176845.915,1881076.382,41.82901759,-87.62666295,"(41.8290175865266, -87.6266629487078)"
"24","Belmont Cragin",19,"Senior",60639,85,1143963.795,1917674.647,41.93012657,-87.74638854,"(41.9301265688258, -87.7463885389486)"
"25","Portage Park",15,"ARO",60641,2,1143429.525,1928858.395,41.96082581,-87.74807125,"(41.9608258122531, -87.7480712546458)"
"26","Near North Side",8,"ARO",60610,32,1174510.06345809,1906800.417,41.89965852,-87.63446469,"(41.8996585214079, -87.6344646909791)"
"27","Austin",25,"Multifamily",60644,78,1139471.896,1903210.835,41.8905194,-87.76324864,"(41.8905193977099, -87.7632486365124)"
"28","West Pullman",53,"Senior",60628,42,1178389.496,1827364.136,41.6815901,-87.62262763,"(41.6815900985845, -87.6226276337339)"
"29","Woodlawn",42,"Multifamily",60637,64,1184799.335,1864093.117,41.782231,-87.59801573,"(41.7822309984892, -87.5980157269828)"
"30","Lincoln Square",4,"ARO",60625,2,1159495.407,1930676.176,41.96549759,-87.68895433,"(41.9654975931691, -87.6889543312091)"
"31","Uptown",3,"Multifamily",60640,13,1168380.03,1927860.194,41.95758244,-87.65636944,"(41.9575824412569, -87.6563694356509)"
"32","Lake View",6,"ARO",60613,5,1165009.048,1925544.23,41.95129974,-87.66882824,"(41.95129973540925, -87.66882823903269)"
"33","Near North Side",8,"ARO",60610,43,1174473.401,1907730.638,41.90221192,-87.63457152,"(41.9022119151994, -87.6345715220446)"
"34","Uptown",3,"ARO",60640,16,1168763.559,1933706.921,41.97361773,-87.65478924,"(41.9736177253694, -87.6547892430962)"
"35","Near West Side",28,"ARO",60607,32,1165681.40129988,1901327.164,41.88483229,-87.66704832,"(41.884832286504235, -87.66704832148883)"
"36","Lincoln Square",4,"ARO",60625,2,1162127.163,1931058.891,41.96649306,-87.6792672,"(41.9664930631947, -87.6792672013702)"
"37","Near North Side",8,"Senior",60610,101,1172779.714,1909442.309,41.90694652,-87.64074187,"(41.90694651905692, -87.64074186564679)"
"38","Humboldt Park",23,"Multifamily",60624,6,1154618.055,1903853.44,41.89199316,-87.70760707,"(41.8919931604846, -87.7076070703225)"
"39","Near South Side",33,"Senior",60605,276,1177842.094,1893842.68,41.86402666,-87.62262043,"(41.864026664933, -87.6226204269935)"
"40","Uptown",3,"Multifamily",60640,12,1169543.909,1930117.784,41.96375203,-87.65202468,"(41.96375203399769, -87.65202467695009)"
"41","Lower West Side",31,"Multifamily",60608,25,1165132.943,1890827.827,41.85603287,-87.66936057,"(41.8560328733339, -87.6693605654777)"
"42","Logan Square",22,"Multifamily",60647,12,1152897.634,1913030.193,41.91720928,-87.71368201,"(41.9172092810543, -87.7136820059935)"
"43","Lincoln Park",7,"ARO",60614,54,1170870.95,1915911.798,41.92474121,-87.64756347,"(41.9247412087562, -87.6475634736031)"
"44","East Garfield Park",27,"Multifamily",60624,50,1153790.485,1896268.991,41.87119717,-87.71084842,"(41.8711971734122, -87.7108484249133)"
"45","Logan Square",22,"Multifamily",60647,3,1154261.835,1911817.117,41.91385334,-87.70870236,"(41.9138533401484, -87.7087023585048)"
"46","Logan Square",22,"ARO",60647,14,1157275.918,1915411.868,41.92365685,-87.69753123,"(41.9236568472526, -87.697531225726)"
"47","Belmont Cragin",19,"ARO",60707,1,1132223.084,1913455.475,41.9187611,-87.78963176,"(41.91876109734238, 87.78963175945233)"
"48","Logan Square",22,"Multifamily",60647,3,1152491.947,1911884.938,41.91407463,-87.71520284,"(41.9140746342917, -87.7152028390309)"
"49","Austin",25,"Multifamily",60644,12,1139130.076,1898499.873,41.87759814,-87.76461864,"(41.8775981391756, -87.7646186402379)"
"50","Lower West Side",31,"Multifamily",60608,12,1167939.641,1891689.48,41.8583373,-87.65903377,"(41.8583373045384, -87.6590337725469)"
"51","West Town",24,"ARO",60642,19,1168610.474,1905551.686,41.89636176,-87.65616995,"(41.8963617568158, -87.6561699480868)"
"52","West Town",24,"ARO",60642,1,1169534.021,1904952.077,41.89469634,-87.65279542,"(41.8946963389876, -87.652795420646)"
"53","Humboldt Park",23,"Multifamily",60647,3,1152579.353,1911651.094,41.91343122,-87.71488792,"(41.9134312154579, -87.7148879186767)"
"54","Montclare",18,"Senior",60707,7,1131547.932,1914379.416,41.92130822,-87.79209096,"(41.9213082227541, -87.7920909580488)"
"55","Uptown",3,"Multifamily",60640,60,1167014.087,1932819.273,41.97121983,-87.66124806,"(41.9712198343036, -87.6612480604762)"
"56","Humboldt Park",23,"Multifamily",60624,6,1155237.959,1903558.991,41.89117274,-87.70533834,"(41.8911727353719, -87.7053383382248)"
"57","South Lawndale",30,"Multifamily",60623,8,1153205.149,1888451.562,41.84975688,-87.71320473,"(41.8497568840392, -87.7132047259626)"
"58","Grand Boulevard",38,"Multifamily",60653,65,1177858.686,1875634.197,41.81406086,-87.62311222,"(41.8140608614135, -87.6231122243036)"
"59","Englewood",68,"Multifamily",60621,69,1175444.813,1860492.084,41.77256377,-87.63241932,"(41.772563768909, -87.6324193182049)"
"60","Logan Square",22,"ARO",60647,22,1157492.643,1915110.094,41.92282434,-87.69674313,"(41.9228243439568, -87.696743126238)"
"61","South Chicago",46,"Multifamily",60617,29,1198941.103,1844604.277,41.72840878,-87.54682246,"(41.7284087757332, -87.5468224570309)"
