"","community","percent_of_housing_crowded","percent_households_below_poverty","percent_aged_16_unemployed","percent_aged_25_without_high_school_diploma","percent_aged_under_18_or_over_64","per_capita_income","hardship_index","latitude_x","longitude_x","count_vacant","community_area_number","property_type","affordable_units_no"
"1","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0171288161181,-87.6654037186353,2,1,"Multifamily",54
"2","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0171288161181,-87.6654037186353,2,1,"Supportive Housing",297
"3","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0171288161181,-87.6654037186353,2,1,"Senior",119
"4","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0171288161181,-87.6654037186353,2,1,"Senior",44
"5","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0171288161181,-87.6654037186353,2,1,"Senior",57
"6","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0171288161181,-87.6654037186353,2,1,"Multifamily",57
"7","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0171288161181,-87.6654037186353,2,1,"Inter-generational",54
"8","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0171288161181,-87.6654037186353,2,1,"Senior",57
"9","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0171288161181,-87.6654037186353,2,1,"Senior",436
"10","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0171288161181,-87.6654037186353,2,1,"ARO",3
"11","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0037343377148,-87.6693377083109,2,1,"Multifamily",54
"12","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0037343377148,-87.6693377083109,2,1,"Supportive Housing",297
"13","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0037343377148,-87.6693377083109,2,1,"Senior",119
"14","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0037343377148,-87.6693377083109,2,1,"Senior",44
"15","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0037343377148,-87.6693377083109,2,1,"Senior",57
"16","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0037343377148,-87.6693377083109,2,1,"Multifamily",57
"17","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0037343377148,-87.6693377083109,2,1,"Inter-generational",54
"18","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0037343377148,-87.6693377083109,2,1,"Senior",57
"19","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0037343377148,-87.6693377083109,2,1,"Senior",436
"20","Rogers Park",7.7,23.6,8.7,18.2,27.5,23939,39,42.0037343377148,-87.6693377083109,2,1,"ARO",3
"21","West Ridge",7.8,17.2,8.8,20.8,38.5,23040,46,41.9875253898745,-87.7025668574346,2,2,"ARO",3
"22","West Ridge",7.8,17.2,8.8,20.8,38.5,23040,46,41.9875253898745,-87.7025668574346,2,2,"ARO",2
"23","West Ridge",7.8,17.2,8.8,20.8,38.5,23040,46,41.9875253898745,-87.7025668574346,2,2,"Senior",117
"24","West Ridge",7.8,17.2,8.8,20.8,38.5,23040,46,41.9875253898745,-87.7025668574346,2,2,"Senior",99
"25","West Ridge",7.8,17.2,8.8,20.8,38.5,23040,46,41.9875253898745,-87.7025668574346,2,2,"Senior",89
"26","West Ridge",7.8,17.2,8.8,20.8,38.5,23040,46,41.9875253898745,-87.7025668574346,2,2,"Senior",14
