"","Community","who_occupies","zip_code","latitude","longitude","count_vacant"
"1","South Shore",TRUE,"60649","41.75265895197463","-87.57845120487023",13
"2","South Shore",TRUE,"60649","41.76368063945024","-87.57808559633982",13
"3","West Englewood",TRUE,"60636","41.79293027719823","-87.67062383489181",35
"4","Humboldt Park",TRUE,"60612","41.890610439730644","-87.70517548483271",13
"5","West Pullman",TRUE,"60628","41.67907898565401","-87.62392601942541",20
"6","Chicago Lawn",TRUE,"60629","41.78351546389895","-87.69473334253264",13
"7","Washington Heights",TRUE,"60620","41.7298450489147","-87.65559551728676",6
"8","North Lawndale",TRUE,"60623","41.863526655535594","-87.72265509755377",13
"9","Roseland",TRUE,"60628","41.69249316777304","-87.63084208645157",18
"10","North Lawndale",TRUE,"60623","41.8635637089307","-87.7226562134223",13
"11","West Pullman",TRUE,"60628","41.67035329477204","-87.63820101616922",20
"12","Roseland",TRUE,"60628","41.693975158872775","-87.64243042404436",18
"13","Englewood",TRUE,"60621","41.76334580794629","-87.64679216512872",19
"14","Near West Side",TRUE,"60612","41.88312882669272","-87.67779956801577",2
"15","Chatham",TRUE,"60620","41.74890383194506","-87.63746496902881",8
"16","Woodlawn",TRUE,"60637","41.77463640738812","-87.6033672227895",4
"17","Logan Square",TRUE,"60647","41.91802929260706","-87.71517410233075",2
"18","Loop",TRUE,"60604","41.87776039667963","-87.62766878242829",1
"19","Humboldt Park",TRUE,"60639","41.91063031259775","-87.73123601895907",13
"20","Washington Heights",TRUE,"60643","41.7181168760097","-87.65384485900712",6
"21","Bridgeport",TRUE,"60608","41.83384831277552","-87.65104047753914",1
"22","South Deering",TRUE,"60617","41.71837666638995","-87.566346114495",2
"23","Austin",TRUE,"60644","41.890045835100715","-87.75638522082959",18
"24","West Pullman",TRUE,"60628","41.681032209811725","-87.62638684034347",20
"25","Chicago Lawn",TRUE,"60629","41.781933939776096","-87.68493458506542",13
"26","West Englewood",TRUE,"60636","41.78420443781608","-87.65704795647696",35
"27","Englewood",TRUE,"60621","41.78821356147027","-87.65107790894805",19
"28","South Deering",TRUE,"60617","41.69891005857356","-87.56075550772383",2
"29","Auburn Gresham",TRUE,"60620","41.74059129189018","-87.66440503539503",26
"30","Humboldt Park",TRUE,"60651","41.89589693502868","-87.718769541114",13
"31","Auburn Gresham",TRUE,"60620","41.753262784599656","-87.64411033196407",26
"32","Humboldt Park",TRUE,"60651","41.9013841349208","-87.72382566092163",13
"33","West Englewood",TRUE,"60636","41.77906257404118","-87.65815276227944",35
"34","Austin",TRUE,"60644","41.87747080051644","-87.76233784811373",18
"35","West Garfield Park",TRUE,"60624","41.87269494302696","-87.72648759507047",6
